method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,000/00000026,0.19482049345970154,0.00045341835357248783,0.19724950194358826
Fine-tuned BasicVSR++,000/00000027,0.1990968883037567,0.0004597134829964489,0.19553129374980927
Fine-tuned BasicVSR++,000/00000028,0.2042098045349121,0.0004480241914279759,0.20266148447990417
Fine-tuned BasicVSR++,000/00000029,0.20962829887866974,0.00044103313121013343,0.20486202836036682
Fine-tuned BasicVSR++,000/00000030,0.20028215646743774,0.00043192642624489963,0.1978190541267395
Fine-tuned BasicVSR++,000/00000031,0.19693507254123688,0.00041747005889192224,0.19711528718471527
Fine-tuned BasicVSR++,000/00000032,0.2015487551689148,0.00044274123501963913,0.19325998425483704
Fine-tuned BasicVSR++,000/00000033,0.20681066811084747,0.0004408511449582875,0.19800536334514618
Fine-tuned BasicVSR++,000/00000034,0.19911178946495056,0.00043905258644372225,0.19714733958244324
Fine-tuned BasicVSR++,000/00000035,0.19780652225017548,0.00043563847430050373,0.19314667582511902
Fine-tuned BasicVSR++,000/00000036,0.2012699842453003,0.00043789451592601836,0.19554510712623596
Fine-tuned BasicVSR++,000/00000037,0.21303528547286987,0.000437147100456059,0.19939592480659485
Fine-tuned BasicVSR++,000/00000038,0.19484330713748932,0.00043269130401313305,0.194524347782135
Fine-tuned BasicVSR++,000/00000039,0.18723846971988678,0.0004104937834199518,0.18547822535037994
Fine-tuned BasicVSR++,000/00000040,0.18834127485752106,0.0004148671869188547,0.18762464821338654
Fine-tuned BasicVSR++,000/00000041,0.19241197407245636,0.00042649064562283456,0.17930500209331512
Fine-tuned BasicVSR++,000/00000042,0.18570829927921295,0.0004127688880544156,0.18593540787696838
Fine-tuned BasicVSR++,000/00000043,0.19312508404254913,0.0003944620257243514,0.18274937570095062
Fine-tuned BasicVSR++,000/00000044,0.19801926612854004,0.0003954089479520917,0.1857079118490219
Fine-tuned BasicVSR++,000/00000045,0.20450714230537415,0.00040573178557679057,0.19716355204582214
Fine-tuned BasicVSR++,000/00000046,0.2007824182510376,0.00040050558163784444,0.19828516244888306
Fine-tuned BasicVSR++,000/00000047,0.20508135855197906,0.00039662158815190196,0.19677482545375824
Fine-tuned BasicVSR++,000/00000048,0.20281895995140076,0.00041087076533585787,0.19896148145198822
Fine-tuned BasicVSR++,000/00000049,0.20626841485500336,0.0004302096785977483,0.20375390350818634
Fine-tuned BasicVSR++,000/00000050,0.19271619617938995,0.00043820790597237647,0.19733257591724396
Fine-tuned BasicVSR++,000/00000051,0.1865309774875641,0.0004348743532318622,0.1936180293560028
Fine-tuned BasicVSR++,000/00000052,0.18116527795791626,0.00043732995982281864,0.19028176367282867
Fine-tuned BasicVSR++,000/00000053,0.18232470750808716,0.00045742467045783997,0.18567489087581635
Fine-tuned BasicVSR++,000/00000054,0.17875133454799652,0.00045822327956557274,0.17384915053844452
Fine-tuned BasicVSR++,000/00000055,0.1829615831375122,0.00044052061275579035,0.17803174257278442
Fine-tuned BasicVSR++,000/00000056,0.18850082159042358,0.0004312841047067195,0.1853254735469818
Fine-tuned BasicVSR++,000/00000057,0.19348041713237762,0.00044118938967585564,0.19059666991233826
Fine-tuned BasicVSR++,000/00000058,0.18619312345981598,0.0004300556320231408,0.186928391456604
Fine-tuned BasicVSR++,000/00000059,0.19174033403396606,0.0004213887150399387,0.18946194648742676
Fine-tuned BasicVSR++,000/00000060,0.19227877259254456,0.0004345947818364948,0.1844903528690338
